Date,Product,Region,Price,Promo,Inventory,Sales
2022-01-10,P001,North,49.52,0,854,42
2022-01-10,P002,East,52.91,0,573,48
2022-01-10,P003,East,55.44,0,803,56
2022-01-10,P004,Central,54.64,0,145,58
2022-01-10,P005,South,53.49,0,253,58
2022-01-10,P006,East,57.5,0,516,60
2022-01-10,P007,East,57.43,0,785,55
2022-01-10,P008,South,59.09,0,964,50
2022-01-10,P009,North,57.34,0,873,71
2022-01-10,P010,North,62.5,0,174,59
2022-01-11,P001,East,50.82,0,593,68
2022-01-11,P002,East,53.14,0,566,57
2022-01-11,P003,East,53.25,0,968,68
2022-01-11,P004,East,52.64,0,702,75
2022-01-11,P005,West,55.12,0,691,62
2022-01-11,P006,West,55.08,0,964,72
2022-01-11,P007,Central,55.01,0,442,58
2022-01-11,P008,North,57.02,0,527,50
2022-01-11,P009,East,60.96,0,448,76
2022-01-11,P010,North,61.59,0,439,59
2022-01-12,P001,East,45.22,1,821,66
2022-01-12,P002,East,53.22,0,869,71
2022-01-12,P003,Central,52.94,0,329,58
2022-01-12,P004,West,55.61,0,791,62
2022-01-12,P005,South,57.31,0,687,42
2022-01-12,P006,Central,53.35,0,708,59
2022-01-12,P007,East,56.78,0,101,64
2022-01-12,P008,East,59.52,0,438,75
2022-01-12,P009,West,60.96,0,308,73
2022-01-12,P010,Central,62.71,0,279,58
2022-01-13,P001,North,51.77,0,822,61
2022-01-13,P002,North,50.64,0,534,57
2022-01-13,P003,North,51.51,0,766,57
2022-01-13,P004,Central,55.34,0,167,67
2022-01-13,P005,South,52.84,0,76,70
2022-01-13,P006,East,57.2,0,127,55
2022-01-13,P007,Central,57.73,0,154,59
2022-01-13,P008,Central,59.72,0,629,55
2022-01-13,P009,North,58.58,0,429,76
2022-01-13,P010,North,61.93,0,158,71
2022-01-14,P001,East,51.69,0,898,46
2022-01-14,P002,South,54.42,0,326,53
2022-01-14,P003,Central,53.2,0,545,38
2022-01-14,P004,Central,55.9,0,900,57
2022-01-14,P005,North,54.73,0,818,44
2022-01-14,P006,East,55.97,0,382,58
2022-01-14,P007,South,56.17,0,314,47
2022-01-14,P008,West,58.1,0,245,73
2022-01-14,P009,North,58.45,0,618,59
2022-01-14,P010,East,57.1,0,351,46
2022-01-15,P001,South,49.69,0,729,41
2022-01-15,P002,Central,54.58,0,613,45
2022-01-15,P003,West,52.75,0,363,50
2022-01-15,P004,South,55.31,0,830,55
2022-01-15,P005,South,56.31,0,333,48
2022-01-15,P006,Central,58.69,0,902,31
2022-01-15,P007,South,56.21,0,359,64
2022-01-15,P008,West,49.87,1,349,83
2022-01-15,P009,South,60.49,0,155,63
2022-01-15,P010,East,59.04,0,102,48
2022-01-16,P001,West,50.89,0,891,57
2022-01-16,P002,Central,49.68,0,202,54
2022-01-16,P003,Central,50.8,0,304,61
2022-01-16,P004,Central,54.64,0,844,61
2022-01-16,P005,Central,57.25,0,354,68
2022-01-16,P006,West,53.54,0,807,35
2022-01-16,P007,North,55.33,0,266,55
2022-01-16,P008,South,55.54,0,52,59
2022-01-16,P009,East,59.55,0,348,64
2022-01-16,P010,West,59.72,0,753,59
2022-01-17,P001,South,52.47,0,690,41
2022-01-17,P002,South,52.23,0,713,47
2022-01-17,P003,South,54.73,0,123,69
2022-01-17,P004,Central,54.37,0,345,62
2022-01-17,P005,East,56.04,0,766,52
2022-01-17,P006,Central,53.65,0,90,63
2022-01-17,P007,East,57.59,0,76,79
2022-01-17,P008,Central,55.22,0,833,74
2022-01-17,P009,West,60.55,0,229,49
2022-01-17,P010,West,60.51,0,700,66
2022-01-18,P001,East,50.85,0,468,51
2022-01-18,P002,South,53.01,0,345,70
2022-01-18,P003,East,53.27,0,515,66
2022-01-18,P004,North,53.48,0,576,65
2022-01-18,P005,North,55.23,0,473,73
2022-01-18,P006,Central,56.7,0,828,67
2022-01-18,P007,North,57.28,0,999,60
2022-01-18,P008,East,60.74,0,673,86
2022-01-18,P009,South,57.88,0,64,63
2022-01-18,P010,North,57.7,0,902,67
2022-01-19,P001,South,52.1,0,571,57
2022-01-19,P002,East,50.67,0,614,51
2022-01-19,P003,South,55.24,0,570,61
2022-01-19,P004,North,55.57,0,474,57
2022-01-19,P005,West,55.04,0,890,79
2022-01-19,P006,Central,56.9,0,936,65
2022-01-19,P007,South,56.91,0,390,54
2022-01-19,P008,East,60.14,0,764,63
2022-01-19,P009,South,57.43,0,844,61
2022-01-19,P010,East,61.87,0,445,74
2022-01-20,P001,South,48.64,0,564,64
2022-01-20,P002,North,51.69,0,588,56
2022-01-20,P003,East,46.0,1,941,84
2022-01-20,P004,East,52.73,0,688,55
2022-01-20,P005,East,56.93,0,922,56
2022-01-20,P006,West,58.17,0,549,52
2022-01-20,P007,Central,49.09,1,696,90
2022-01-20,P008,South,57.62,0,150,57
2022-01-20,P009,North,60.14,0,975,74
2022-01-20,P010,North,59.25,0,199,68
2022-01-21,P001,South,51.34,0,861,54
2022-01-21,P002,Central,52.62,0,296,57
2022-01-21,P003,East,51.11,0,522,48
2022-01-21,P004,North,53.81,0,344,48
2022-01-21,P005,Central,54.68,0,403,63
2022-01-21,P006,East,55.76,0,359,56
2022-01-21,P007,South,59.01,0,159,59
2022-01-21,P008,Central,59.16,0,72,70
2022-01-21,P009,East,59.39,0,752,64
2022-01-21,P010,Central,62.0,0,974,36
2022-01-22,P001,West,49.62,0,871,43
2022-01-22,P002,Central,53.33,0,835,59
2022-01-22,P003,South,55.14,0,711,64
2022-01-22,P004,North,55.25,0,142,55
2022-01-22,P005,West,54.54,0,255,60
2022-01-22,P006,West,58.32,0,900,61
2022-01-22,P007,South,58.85,0,543,62
2022-01-22,P008,West,57.82,0,127,54
2022-01-22,P009,South,57.38,0,742,53
2022-01-22,P010,Central,61.74,0,64,34
2022-01-23,P001,West,50.77,0,738,50
2022-01-23,P002,East,54.29,0,160,45
2022-01-23,P003,South,53.63,0,624,47
2022-01-23,P004,North,53.81,0,767,63
2022-01-23,P005,West,52.89,0,96,61
2022-01-23,P006,East,54.51,0,600,53
2022-01-23,P007,South,56.26,0,810,53
2022-01-23,P008,Central,56.0,0,474,47
2022-01-23,P009,North,59.68,0,336,66
2022-01-23,P010,East,58.42,0,421,61
2022-01-24,P001,North,50.32,0,973,62
2022-01-24,P002,East,54.43,0,918,55
2022-01-24,P003,East,51.47,0,704,55
2022-01-24,P004,West,51.98,0,628,57
2022-01-24,P005,South,56.46,0,262,45
2022-01-24,P006,South,54.03,0,972,51
2022-01-24,P007,Central,53.14,1,198,109
2022-01-24,P008,South,60.13,0,184,61
2022-01-24,P009,North,60.7,0,652,61
2022-01-24,P010,North,59.53,0,166,70
2022-01-25,P001,North,52.42,0,575,51
2022-01-25,P002,South,49.63,0,852,55
2022-01-25,P003,Central,53.76,0,81,71
2022-01-25,P004,East,51.88,0,779,67
2022-01-25,P005,East,52.69,0,672,67
2022-01-25,P006,Central,56.27,0,382,69
2022-01-25,P007,East,57.17,0,514,55
2022-01-25,P008,North,58.88,0,837,67
2022-01-25,P009,Central,57.32,0,512,77
2022-01-25,P010,East,61.38,0,370,63
2022-01-26,P001,East,49.75,0,206,56
2022-01-26,P002,North,49.88,0,148,52
2022-01-26,P003,West,53.3,0,650,74
2022-01-26,P004,North,56.02,0,818,61
2022-01-26,P005,East,56.22,0,344,58
2022-01-26,P006,Central,54.07,0,543,61
2022-01-26,P007,South,56.15,0,619,56
2022-01-26,P008,Central,57.59,0,624,82
2022-01-26,P009,Central,59.84,0,76,58
2022-01-26,P010,West,52.78,1,830,92
2022-01-27,P001,West,50.24,0,235,65
2022-01-27,P002,East,53.25,0,81,50
2022-01-27,P003,North,51.49,0,479,55
2022-01-27,P004,West,55.49,0,631,62
2022-01-27,P005,Central,52.54,0,211,62
2022-01-27,P006,North,56.91,0,547,60
2022-01-27,P007,Central,55.71,0,823,55
2022-01-27,P008,North,59.04,0,548,65
2022-01-27,P009,Central,56.32,0,454,70
2022-01-27,P010,South,58.27,0,190,67
2022-01-28,P001,West,49.06,0,559,53
2022-01-28,P002,East,50.6,0,622,49
2022-01-28,P003,West,54.92,0,93,46
2022-01-28,P004,North,54.41,0,637,60
2022-01-28,P005,East,54.55,0,167,38
2022-01-28,P006,South,56.66,0,901,71
2022-01-28,P007,West,58.96,0,299,51
2022-01-28,P008,North,56.9,0,397,64
2022-01-28,P009,South,57.04,0,572,54
2022-01-28,P010,South,59.1,0,794,54
2022-01-29,P001,South,49.2,0,252,52
2022-01-29,P002,North,53.42,0,555,55
2022-01-29,P003,East,54.38,0,509,45
2022-01-29,P004,Central,56.54,0,373,38
2022-01-29,P005,South,54.83,0,696,52
2022-01-29,P006,North,53.62,0,522,61
2022-01-29,P007,East,50.63,1,343,107
2022-01-29,P008,North,58.04,0,523,65
2022-01-29,P009,Central,60.72,0,967,76
2022-01-29,P010,Central,58.93,0,537,64
2022-01-30,P001,Central,48.77,0,155,57
2022-01-30,P002,North,50.3,0,303,38
2022-01-30,P003,East,53.13,0,674,57
2022-01-30,P004,West,55.48,0,745,61
2022-01-30,P005,Central,55.72,0,392,59
2022-01-30,P006,East,57.25,0,722,58
2022-01-30,P007,Central,56.05,0,646,47
2022-01-30,P008,West,59.15,0,451,41
2022-01-30,P009,South,61.58,0,367,47
2022-01-30,P010,West,61.02,0,898,56
2022-01-31,P001,Central,51.87,0,570,51
2022-01-31,P002,South,51.18,0,834,63
2022-01-31,P003,East,55.65,0,208,73
2022-01-31,P004,North,54.21,0,806,67
2022-01-31,P005,Central,48.69,1,834,77
2022-01-31,P006,South,57.86,0,839,53
2022-01-31,P007,Central,55.09,0,498,71
2022-01-31,P008,South,58.64,0,820,66
2022-01-31,P009,East,57.46,0,878,69
2022-01-31,P010,South,62.68,0,501,45
2022-02-01,P001,East,52.42,0,564,37
2022-02-01,P002,South,50.12,0,306,57
2022-02-01,P003,North,54.98,0,617,76
2022-02-01,P004,Central,52.84,0,831,58
2022-02-01,P005,South,57.23,0,200,67
2022-02-01,P006,South,58.15,0,77,62
2022-02-01,P007,East,57.01,0,291,64
2022-02-01,P008,South,54.45,1,909,107
2022-02-01,P009,West,56.86,0,343,80
2022-02-01,P010,South,59.81,0,680,65
2022-02-02,P001,North,48.55,0,270,67
2022-02-02,P002,Central,49.98,0,345,52
2022-02-02,P003,South,50.6,0,479,55
2022-02-02,P004,North,56.19,0,661,55
2022-02-02,P005,Central,49.58,1,297,97
2022-02-02,P006,North,54.55,0,476,59
2022-02-02,P007,South,54.64,0,419,80
2022-02-02,P008,Central,58.04,0,70,75
2022-02-02,P009,East,56.31,0,446,79
2022-02-02,P010,North,57.41,0,296,71
2022-02-03,P001,North,52.2,0,390,64
2022-02-03,P002,West,50.31,0,847,66
2022-02-03,P003,East,52.89,0,236,62
2022-02-03,P004,East,47.15,1,860,89
2022-02-03,P005,South,53.99,0,367,35
2022-02-03,P006,Central,53.41,0,712,62
2022-02-03,P007,South,59.06,0,98,71
2022-02-03,P008,North,57.63,0,459,60
2022-02-03,P009,East,58.33,0,241,56
2022-02-03,P010,Central,57.5,0,484,69
2022-02-04,P001,North,53.53,0,234,47
2022-02-04,P002,North,50.94,0,506,53
2022-02-04,P003,Central,51.23,0,504,54
2022-02-04,P004,West,53.65,0,704,59
2022-02-04,P005,North,55.76,0,422,43
2022-02-04,P006,South,54.0,0,672,58
2022-02-04,P007,East,49.08,1,847,83
2022-02-04,P008,Central,50.39,1,510,82
2022-02-04,P009,West,60.55,0,637,68
2022-02-04,P010,West,58.5,0,166,70
2022-02-05,P001,North,51.0,0,446,54
2022-02-05,P002,West,50.52,0,676,50
2022-02-05,P003,West,55.64,0,254,64
2022-02-05,P004,East,55.15,0,139,65
2022-02-05,P005,West,56.15,0,613,38
2022-02-05,P006,South,58.39,0,703,51
2022-02-05,P007,South,57.05,0,174,72
2022-02-05,P008,South,55.25,0,617,56
2022-02-05,P009,Central,60.79,0,614,72
2022-02-05,P010,North,63.0,0,786,74
2022-02-06,P001,East,52.37,0,893,48
2022-02-06,P002,West,51.74,0,746,51
2022-02-06,P003,Central,55.0,0,848,44
2022-02-06,P004,South,56.22,0,106,52
2022-02-06,P005,North,53.92,0,215,50
2022-02-06,P006,West,56.11,0,340,69
2022-02-06,P007,North,57.77,0,614,56
2022-02-06,P008,Central,58.01,0,222,72
2022-02-06,P009,Central,56.96,0,724,46
2022-02-06,P010,West,60.38,0,895,47
2022-02-07,P001,North,53.29,0,839,46
2022-02-07,P002,Central,52.72,0,559,52
2022-02-07,P003,Central,55.42,0,544,59
2022-02-07,P004,East,51.69,0,111,77
2022-02-07,P005,South,54.91,0,258,58
2022-02-07,P006,West,58.02,0,458,67
2022-02-07,P007,South,57.09,0,158,59
2022-02-07,P008,West,55.92,0,101,74
2022-02-07,P009,West,61.15,0,478,66
2022-02-07,P010,South,62.6,0,788,87
2022-02-08,P001,West,49.26,0,577,43
2022-02-08,P002,East,48.88,1,567,100
2022-02-08,P003,East,51.49,0,411,71
2022-02-08,P004,Central,54.83,0,531,67
2022-02-08,P005,West,56.91,0,491,71
2022-02-08,P006,West,55.25,0,460,73
2022-02-08,P007,North,55.26,0,616,66
2022-02-08,P008,East,56.72,0,688,80
2022-02-08,P009,Central,61.8,0,453,49
2022-02-08,P010,Central,61.53,0,253,95
2022-02-09,P001,Central,51.0,0,96,77
2022-02-09,P002,East,50.17,0,964,68
2022-02-09,P003,Central,55.29,0,376,81
2022-02-09,P004,West,54.04,0,571,92
2022-02-09,P005,Central,55.35,0,536,71
2022-02-09,P006,North,56.47,0,865,60
2022-02-09,P007,North,55.66,0,721,74
2022-02-09,P008,Central,55.4,0,541,53
2022-02-09,P009,South,60.3,0,843,76
2022-02-09,P010,South,56.42,1,162,103
2022-02-10,P001,South,45.04,1,205,82
2022-02-10,P002,Central,54.19,0,943,64
2022-02-10,P003,North,53.1,0,624,56
2022-02-10,P004,Central,56.47,0,520,76
2022-02-10,P005,Central,54.2,0,840,74
2022-02-10,P006,West,54.28,0,302,54
2022-02-10,P007,West,55.43,0,354,69
2022-02-10,P008,East,57.12,0,864,52
2022-02-10,P009,West,59.43,0,606,48
2022-02-10,P010,West,61.83,0,347,91
2022-02-11,P001,North,52.09,0,404,65
2022-02-11,P002,East,53.71,0,327,50
2022-02-11,P003,Central,51.08,0,680,57
2022-02-11,P004,North,54.17,0,703,52
2022-02-11,P005,South,54.52,0,784,46
2022-02-11,P006,South,50.65,1,211,94
2022-02-11,P007,East,59.17,0,537,55
2022-02-11,P008,West,58.85,0,979,63
2022-02-11,P009,North,57.42,0,806,60
2022-02-11,P010,South,62.03,0,991,42
2022-02-12,P001,North,50.47,0,557,57
2022-02-12,P002,West,49.45,0,631,65
2022-02-12,P003,Central,55.56,0,341,43
2022-02-12,P004,Central,56.37,0,921,58
2022-02-12,P005,Central,53.31,0,165,49
2022-02-12,P006,West,53.28,0,395,69
2022-02-12,P007,West,58.47,0,229,48
2022-02-12,P008,East,58.09,0,138,51
2022-02-12,P009,East,57.14,0,193,39
2022-02-12,P010,North,58.41,0,821,64
2022-02-13,P001,West,49.99,0,790,47
2022-02-13,P002,West,49.72,0,171,51
2022-02-13,P003,East,52.5,0,564,71
2022-02-13,P004,West,54.75,0,352,48
2022-02-13,P005,West,53.46,0,186,48
2022-02-13,P006,Central,57.13,0,984,60
2022-02-13,P007,East,58.72,0,895,61
2022-02-13,P008,Central,55.57,0,507,67
2022-02-13,P009,Central,56.51,0,627,75
2022-02-13,P010,Central,60.22,0,218,74
2022-02-14,P001,West,50.7,0,746,61
2022-02-14,P002,North,51.72,0,106,70
2022-02-14,P003,East,52.55,0,627,69
2022-02-14,P004,West,53.44,0,886,65
2022-02-14,P005,North,55.43,0,96,49
2022-02-14,P006,Central,58.43,0,120,70
2022-02-14,P007,East,50.83,1,837,111
2022-02-14,P008,East,60.27,0,509,76
2022-02-14,P009,East,60.08,0,727,71
2022-02-14,P010,West,62.96,0,452,64
2022-02-15,P001,Central,53.44,0,904,64
2022-02-15,P002,West,53.14,0,484,64
2022-02-15,P003,Central,51.57,0,521,60
2022-02-15,P004,North,49.38,1,679,109
2022-02-15,P005,North,52.62,0,658,81
2022-02-15,P006,North,53.45,0,499,71
2022-02-15,P007,South,58.45,0,844,81
2022-02-15,P008,West,60.42,0,639,75
2022-02-15,P009,West,60.61,0,888,68
2022-02-15,P010,South,60.13,0,473,82
2022-02-16,P001,West,51.29,0,655,79
2022-02-16,P002,East,49.64,0,402,50
2022-02-16,P003,East,52.04,0,476,59
2022-02-16,P004,South,53.86,0,919,72
2022-02-16,P005,South,56.14,0,875,65
2022-02-16,P006,East,56.32,0,187,71
2022-02-16,P007,East,55.31,0,712,81
2022-02-16,P008,West,59.3,0,245,78
2022-02-16,P009,North,60.02,0,667,78
2022-02-16,P010,Central,60.35,0,540,76
2022-02-17,P001,South,50.15,0,980,82
2022-02-17,P002,North,53.32,0,986,64
2022-02-17,P003,South,54.08,0,456,73
2022-02-17,P004,West,54.18,0,417,58
2022-02-17,P005,West,55.07,0,559,48
2022-02-17,P006,East,54.99,0,258,70
2022-02-17,P007,West,54.41,0,934,69
2022-02-17,P008,West,58.49,0,787,75
2022-02-17,P009,East,57.21,0,285,56
2022-02-17,P010,East,62.66,0,395,85
2022-02-18,P001,West,50.94,0,790,49
2022-02-18,P002,South,51.23,0,193,49
2022-02-18,P003,Central,55.21,0,605,80
2022-02-18,P004,Central,50.28,1,887,87
2022-02-18,P005,North,54.52,0,912,58
2022-02-18,P006,South,50.43,1,432,88
2022-02-18,P007,North,57.95,0,681,74
2022-02-18,P008,North,52.47,1,62,84
2022-02-18,P009,North,57.67,0,343,82
2022-02-18,P010,East,62.46,0,159,67
2022-02-19,P001,North,49.68,0,684,38
2022-02-19,P002,West,49.81,0,465,51
2022-02-19,P003,East,55.6,0,281,50
2022-02-19,P004,North,55.93,0,827,71
2022-02-19,P005,North,54.34,0,615,45
2022-02-19,P006,South,57.93,0,710,60
2022-02-19,P007,West,59.04,0,147,74
2022-02-19,P008,South,60.14,0,958,47
2022-02-19,P009,Central,56.32,0,126,58
2022-02-19,P010,Central,57.2,0,920,55
2022-02-20,P001,West,44.56,1,197,81
2022-02-20,P002,East,50.96,0,627,42
2022-02-20,P003,South,54.85,0,743,62
2022-02-20,P004,South,55.02,0,130,52
2022-02-20,P005,Central,54.15,0,150,43
2022-02-20,P006,West,56.64,0,659,66
2022-02-20,P007,East,56.01,0,699,56
2022-02-20,P008,East,58.31,0,434,90
2022-02-20,P009,East,59.51,0,439,73
2022-02-20,P010,South,57.49,0,207,70
2022-02-21,P001,East,51.68,0,807,52
2022-02-21,P002,North,45.9,1,418,98
2022-02-21,P003,West,50.81,0,491,50
2022-02-21,P004,East,51.78,0,617,66
2022-02-21,P005,North,56.56,0,934,57
2022-02-21,P006,East,57.26,0,622,70
2022-02-21,P007,South,55.12,0,439,69
2022-02-21,P008,West,55.47,0,495,74
2022-02-21,P009,West,58.91,0,128,52
2022-02-21,P010,East,58.17,0,159,88
2022-02-22,P001,South,53.29,0,390,68
2022-02-22,P002,West,51.64,0,893,56
2022-02-22,P003,Central,52.05,0,761,68
2022-02-22,P004,East,52.87,0,761,75
2022-02-22,P005,East,56.55,0,383,55
2022-02-22,P006,East,58.42,0,254,83
2022-02-22,P007,Central,55.18,0,836,46
2022-02-22,P008,East,56.32,0,866,64
2022-02-22,P009,West,56.46,0,918,76
2022-02-22,P010,East,58.82,0,308,63
2022-02-23,P001,South,52.47,0,125,52
2022-02-23,P002,Central,52.03,0,992,70
2022-02-23,P003,East,54.54,0,418,61
2022-02-23,P004,Central,51.76,0,837,50
2022-02-23,P005,South,54.2,0,712,59
2022-02-23,P006,East,55.06,0,865,62
2022-02-23,P007,East,54.71,0,277,59
2022-02-23,P008,Central,56.38,0,433,72
2022-02-23,P009,East,60.06,0,757,64
2022-02-23,P010,North,58.77,0,992,76
2022-02-24,P001,North,53.25,0,195,56
2022-02-24,P002,South,51.21,0,149,70
2022-02-24,P003,East,52.75,0,118,58
2022-02-24,P004,North,47.84,1,161,123
2022-02-24,P005,South,56.32,0,578,69
2022-02-24,P006,Central,55.79,0,866,73
2022-02-24,P007,East,55.21,0,723,66
2022-02-24,P008,Central,57.71,0,489,71
2022-02-24,P009,East,51.59,1,335,107
2022-02-24,P010,North,61.8,0,599,52
2022-02-25,P001,South,49.46,0,166,55
2022-02-25,P002,Central,51.03,0,447,75
2022-02-25,P003,Central,50.96,0,410,65
2022-02-25,P004,West,54.49,0,738,49
2022-02-25,P005,South,53.56,0,169,67
2022-02-25,P006,Central,56.54,0,638,75
2022-02-25,P007,East,56.92,0,600,58
2022-02-25,P008,South,57.94,0,193,51
2022-02-25,P009,South,58.71,0,104,81
2022-02-25,P010,East,61.89,0,625,48
2022-02-26,P001,Central,50.54,0,553,40
2022-02-26,P002,East,52.34,0,864,62
2022-02-26,P003,South,51.81,0,600,52
2022-02-26,P004,Central,55.44,0,612,71
2022-02-26,P005,Central,52.88,0,843,32
2022-02-26,P006,Central,53.43,0,786,51
2022-02-26,P007,East,59.79,0,154,58
2022-02-26,P008,South,60.9,0,510,47
2022-02-26,P009,West,60.87,0,499,65
2022-02-26,P010,South,61.43,0,755,59
2022-02-27,P001,West,51.56,0,488,57
2022-02-27,P002,South,53.59,0,633,59
2022-02-27,P003,West,53.51,0,222,51
2022-02-27,P004,West,56.44,0,576,70
2022-02-27,P005,North,56.38,0,471,83
2022-02-27,P006,South,53.94,0,199,46
2022-02-27,P007,West,58.49,0,742,57
2022-02-27,P008,West,57.28,0,127,65
2022-02-27,P009,North,60.47,0,761,71
2022-02-27,P010,East,57.01,0,842,60
2022-02-28,P001,North,50.79,0,730,53
2022-02-28,P002,Central,54.43,0,894,44
2022-02-28,P003,South,52.06,0,340,55
2022-02-28,P004,Central,55.56,0,965,73
2022-02-28,P005,North,50.12,1,906,89
2022-02-28,P006,South,53.2,0,488,66
2022-02-28,P007,South,59.33,0,953,63
2022-02-28,P008,West,57.19,0,134,63
2022-02-28,P009,West,59.88,0,103,61
2022-02-28,P010,South,57.55,0,147,75
2022-03-01,P001,North,48.85,0,657,66
2022-03-01,P002,North,46.07,1,173,120
2022-03-01,P003,East,52.88,0,284,54
2022-03-01,P004,North,53.28,0,356,79
2022-03-01,P005,South,56.72,0,945,91
2022-03-01,P006,South,56.35,0,674,95
2022-03-01,P007,South,58.27,0,693,71
2022-03-01,P008,Central,60.09,0,138,48
2022-03-01,P009,North,56.78,0,797,53
2022-03-01,P010,West,58.49,0,710,95
2022-03-02,P001,North,51.52,0,788,52
2022-03-02,P002,North,52.82,0,358,56
2022-03-02,P003,South,53.05,0,815,56
2022-03-02,P004,South,51.91,0,561,79
2022-03-02,P005,Central,57.14,0,62,95
2022-03-02,P006,South,57.9,0,480,70
2022-03-02,P007,West,55.13,0,532,91
2022-03-02,P008,North,55.18,0,270,69
2022-03-02,P009,North,61.65,0,457,59
2022-03-02,P010,Central,59.54,0,461,76
2022-03-03,P001,North,51.19,0,206,61
2022-03-03,P002,Central,54.47,0,209,71
2022-03-03,P003,Central,53.46,0,831,72
2022-03-03,P004,North,53.66,0,916,53
2022-03-03,P005,South,52.72,0,494,77
2022-03-03,P006,North,57.35,0,808,78
2022-03-03,P007,South,58.19,0,768,82
2022-03-03,P008,West,59.64,0,788,72
2022-03-03,P009,West,56.8,0,849,84
2022-03-03,P010,North,57.18,0,876,60
2022-03-04,P001,East,48.78,0,779,69
2022-03-04,P002,East,51.27,0,561,56
2022-03-04,P003,Central,51.18,0,841,68
2022-03-04,P004,North,54.05,0,95,67
2022-03-04,P005,North,54.84,0,442,67
2022-03-04,P006,North,58.32,0,808,60
2022-03-04,P007,East,55.57,0,987,62
2022-03-04,P008,North,55.79,0,739,57
